Word,Count
grantees,388
given,387
networks,385
challenges,384
culture,384
managers,382
winter,381
family,380
agencies,377
fair,377
strong,377
values,377
institutions,376
significant,376
brand,375
form,374
major,374
challenge,373
initiative,373
workers,373
benefit,372
opportunities,372
ability,370
decision,370
enough,368
opportunity,368
return,368
changes,364
outcomes,364
practice,364
called,363
loans,363
focused,361
times,360
control,359
models,359
customers,357
difficult,357
core,356
markets,354
individuals,353
rate,353
fact,352
according,350
consider,350
going,350
quality,350
arts,348
strategies,348
sustainability,348
country,346
effort,346
advocacy,345
investing,345
beyond,344
annual,343
worked,343
marketing,342
initiatives,341
green,340
loan,340
trade,340
lead,339
governments,337
higher,337
particular,337
growing,336
rates,336
charitable,335
lack,335
office,333
article,332
evaluation,332
evidence,331
operating,331
operations,331
stakeholders,331
great,329
include,329
recent,329
toward,329
revenue,326
attention,325
billion,325
climate,325
donations,325
helped,325
similar,325
specific,324
senior,323
area,322
next,322
teachers,321
microfinance,320
already,319
thinking,319
conditions,318
volunteers,318
makes,317
point,317
skills,317
structure,317
behavior,316
providing,316
total,316
questions,314
serve,314
enterprises,313
institute,312
progress,312
learn,310
available,309
question,309
course,308
means,308
simply,308
capacity,306
kind,305
meet,305
provides,304
responsibility,304
sources,304
conservation,303
least,303
ngos,303
partnership,302
past,302
requires,302
commercial,301
larger,301
legal,301
single,301
understanding,299
call,298
hard,298
became,297
require,297
reach,296
really,296
tools,295
current,294
charity,293
member,293
nonproﬁt,293
vision,293
commitment,292
directors,292
took,292
addition,291
collaboration,291
fundraising,291
engagement,290
increased,290
provided,290
life,289
longterm,288
look,288
real,288
believe,287
identify,287
possible,287
cases,286
involved,286
america,285
sense,285
founder,284
things,284
responsible,283
standards,283
families,282
instance,282
open,281
planning,280
works,280
actually,279
bring,279
company’s,279
equity,279
shared,279
turn,279
address,278
cannot,278
line,278
offer,278
reduce,277
reserved,277
complex,276
especially,276
online,276
particularly,276
relationship,276
executives,275
india,275
limited,275
never,275
though,275
last,274
person,274
sometimes,274
along,273
nearly,272
corporation,271
finance,271
young,271
lives,270
produce,270
leland,269
returns,269
came,268
china,268
existing,268
agency,267
federal,267
home,267
indeed,267
partnerships,267
professor,267
source,267
supply,266
water,266
partner,265
direct,264
theory,264
budget,263
start,263
survey,263
cultural,262
former,261
getting,261
analysis,259
engage,258
invest,258
photograph,257
required,257
done,256
jobs,256
almost,255
average,255
prize,255
review,255
assets,254
directly,254
influence,254
expected,253
free,253
helping,253
collective,252
established,252
purpose,252
received,252
something,252
started,252
college,251
positive,251
keep,250
range,250
additional,249
largest,248
measure,248
civil,247
demand,246
learned,246
nature,246
press,246
asked,245
away,245
third,245
types,245
view,245
africa,244
later,244
medical,244
show,244
dollars,243
processes,243
sales,243
always,242
levels,242
rural,242
solution,242
interests,241
typically,241
amount,240
firm,240
whose,240
comes,239
move,239
raise,239
central,238
didn’t,238
grow,238
expertise,237
wanted,236
approaches,235
primary,234
either,233
labor,233
banks,232
taking,232
youth,232
donor,231
step,231
infrastructure,230
policies,229
various,229
deal,228
leading,228
half,227
price,227
internal,226
order,226
reason,226
despite,225
generate,225
recently,225
spent,225
firms,224
launched,224
nonproﬁts,224
scaling,224
feel,223
housing,223
powerful,223
credit,222
test,222
innovations,221
lowincome,221
measures,221
true,221
trying,221
outside,220
participants,220
receive,219
designed,218
face,218
terms,217
following,216
living,216
metrics,216
studies,215
play,214
willing,214
causes,213
farmers,213
framework,213
john,213
profits,213
type,213
increasing,212
alone,211
left,211
savings,211
changing,210
helps,210
independent,210
necessary,210
meeting,209
activity,208
boston,208
manage,208
site,208
governance,207
mobile,207
parents,207
reports,207
entire,206
multiple,206
short,206
teacher,206
campaigns,205
full,205
quickly,205
simple,205
term,205
child,204
entrepreneurship,204
highly,204
operate,204
spend,204
takes,204
coffee,203
crisis,203
improving,203
volunteer,203
failure,202
roles,202
technical,202
economy,201
known,201
position,201
promote,201
target,201
easy,200
size,200
department,199
examples,199
response,199
risks,199
sectors,199
uses,199
association,198
mfis,198
ultimately,198
citizens,197
reporting,197
throughout,197
competition,196
consumer,196
harvard,196
paid,196
shift,196
allow,195
certain,195
continue,195
lower,195
managing,195
seen,195
forms,194
natural,194
solve,194
wealth,194
increasingly,193
bill,192
broad,192
ensure,192
goods,192
innovative,192
page,192
pressure,192
profit,192
student,192
book,191
courtesy,191
foundation’s,191
girls,191
decided,190
measurement,190
overall,190
south,190
standard,190
usually,190
spending,189
california,188
civic,188
side,188
answer,187
generally,187
technologies,187
tool,187
david,186
deliver,186
production,186
supporting,186
chicago,185
educational,185
grantmaking,185
merger,185
basic,184
expand,184
stage,184
included,183
professional,183
served,183
awareness,182
boards,182
contributions,182
funder,182
reform,182
urban,182
decades,181
institutional,181
whole,181
actions,180
alliance,180
built,180
contrast,180
endowment,180
class,179
concerns,179
everyone,179
factors,179
integrated,179
journal,179
therefore,179
external,178
land,178
ones,178
perhaps,178
population,178
chain,177
founded,177
period,177
hold,176
philanthropists,176
portfolio,176
raised,176
ventures,176
sure,175
that’s,175
charities,174
relatively,174
includes,173
microcredit,173
principles,173
serving,173
washington,173
words,173
history,172
insurance,172
account,171
committee,171
domestic,171
initial,171
advantage,170
chinese,170
choice,170
effectiveness,170
hybrid,170
late,170
resource,170
unique,170
users,170
went,170
effect,169
forces,169
pursue,169
thus,169
researchers,168
save,168
socially,168
council,167
space,167
story,167
status,166
context,165
decade,165
encourage,165
implementation,165
incentives,165
providers,165
white,165
talk,164
centers,163
doesn’t,163
basis,162
close,162
leader,162
seem,162
sell,162
similarly,162
essential,161
gave,161
wide,161
world’s,161
can’t,160
force,160
meanwhile,160
numbers,160
plans,160
teams,160
brought,159
drive,159
formal,159
religious,159
seek,159
welfare,159
moreover,158
offers,158
reported,158
thought,158
variety,158
affiliates,157
cash,157
held,157
majority,157
months,157
objectives,157
paper,157
bottom,156
delivery,156
difference,156
ethical,156
