id,Count,Word
738,110,role
505,109,list
617,109,operating
904,109,turn
797,109,smartphones
431,108,inside
479,108,large
249,107,easy
257,107,electric
691,107,publishers
359,107,giving
626,107,partner
968,106,weekend
166,106,connect
143,106,city
389,106,health
611,106,old
131,106,characters
67,106,attention
429,105,initial
704,105,reach
935,105,vehicle
15,104,add
710,104,received
504,104,line
353,104,generation
692,104,push
972,104,went
703,104,range
722,104,reportedly
770,103,selling
849,103,subscription
620,103,organizations
236,103,download
678,103,processing
337,103,funding round
2,103,ability
238,102,drive
467,102,joined
204,102,deep
636,102,performance
535,102,manage
696,102,quickly
567,102,model
543,101,marketplace
33,101,allows
240,101,driving
445,101,invest
758,101,science
157,101,company announced
985,101,worth
587,101,networks
363,100,goes
608,100,office
400,100,hours
47,100,announces
388,100,headsets
622,100,outside
174,100,continues
805,100,solutions
184,100,creative
383,100,hard
695,99,questions
984,99,worldwide
318,99,firms
894,99,track
413,99,impact
163,99,computing
473,99,kind
209,99,desktop
560,98,millions
589,98,new features
180,98,court
133,98,chatbot
610,98,official
897,98,trailer
233,98,doing
160,98,competition
421,98,increase
472,98,kids
755,98,saw
811,98,speaker
16,97,added
492,97,leaders
573,97,monthly
148,97,code
443,97,interview
466,97,join
13,97,actually
396,97,history
648,96,played
643,96,plan
896,96,traditional
185,96,creator
515,96,longer
495,96,learn
231,96,does
659,95,possible
293,95,face
214,95,developed
665,95,press
178,95,country
831,95,state
568,95,models
230,94,division
438,94,intelligent
577,94,multiplayer online
745,94,round led
177,93,cost
550,93,messages
343,93,gameplay
762,93,season
978,93,workers
812,93,speakers
615,93,opening
821,93,stage
723,93,reports
237,92,downloads
187,92,crowdfunding
765,92,seed
271,92,entertainment
416,92,improvements
944,92,video games
169,92,consoles
179,91,couple
511,91,lives
226,91,directly
406,91,humans
789,90,single
173,90,continue
483,90,late
12,90,active
746,90,roundup
17,90,adding
145,90,close
312,89,film
269,89,engine
229,89,display
296,89,fact
206,89,delivery
124,89,center
815,89,spent
565,89,mobile games
7,89,accounts
834,89,step
779,88,shared
962,88,were
541,88,marketers
407,88,hybrid
675,88,probably
319,88,flagship
192,88,date
783,88,short
428,88,infrastructure
64,88,ask
32,88,allow
342,87,game industry
681,87,professional
325,87,form
66,87,assistants
130,87,character
255,87,effort
252,87,ecosystem
23,87,adventure
165,87,confirmed
919,87,updated
804,87,solution
239,87,drivers
9,86,acquires
362,86,goal
684,86,projects
624,86,owners
616,86,opens
341,86,game developers
569,86,modern
689,86,published
282,85,example
266,85,enables
201,85,decade
328,85,fourth
983,85,worlds
750,84,sale
669,84,previously
837,84,storage
879,84,thirdparty
871,84,thatu2019s
19,84,additional
457,84,issues
161,84,competitive
422,84,independent
95,84,boost
298,84,familiar
768,83,selfdriving cars
361,83,globally
321,83,focused
760,83,screen
283,83,exclusive
300,83,fan
672,83,privacy
781,83,sharing
222,83,didnt
213,83,develop
190,83,daily
578,83,multiple
217,82,developing
205,82,deliver
144,82,classic
912,82,understand
734,82,rise
864,82,terms
18,82,addition
640,82,photos
228,81,disclosed
735,81,robot
297,81,fall
158,81,company said
609,81,officer
256,81,efforts
639,81,phones
311,81,fighting
788,81,similar
305,81,faster
512,81,local
884,80,titles
828,80,starts
563,80,mobile app
546,80,matter
991,80,years
845,80,strong
970,80,weekly roundup
176,80,core
719,79,releasing
928,78,variety
477,78,language
425,78,industries
649,78,player
523,78,love
549,78,members
304,78,fast
898,78,travel
73,77,automation
120,77,care
276,77,equity
668,77,previous
584,77,net
848,77,study
580,77,named
842,77,stream
310,76,fight
814,76,speed
80,76,battery
561,76,mission
123,75,cash
527,75,machines
127,75,challenge
254,75,education
575,74,movie
813,74,special
59,73,arena
323,73,food
316,72,financing
90,72,bit
503,72,limited
994,72,yesterday
357,71,given
478,71,laptop
447,71,investments
594,70,night
299,70,family
434,70,insurance
68,69,audio
836,69,stop
875,66,theres
38,66,analysis
742,65,room
287,65,expands
4,64,accelerator
275,64,episode
326,64,founded
440,63,international
25,63,age
433,63,instead
136,63,chief executive
313,62,final
776,60,seven
956,59,war
382,59,handson
946,58,view
963,58,weve
950,57,visual
352,57,general
302,57,fantasy
847,55,studios
521,50,lost
153,49,communications
210,48,despite
893,45,touch
528,45,magic
262,44,electronics
225,44,direct
558,44,million round
534,43,man
253,42,edition
309,41,federal
822,41,star
832,41,states
22,39,advanced
618,39,opinion
268,36,engage
258,34,electronic
91,34,bitcoin
195,34,dead
401,34,house
394,32,heroes
557,32,million funding
72,30,auto
274,29,epic
539,29,mark
381,29,guest
737,24,rocket
656,24,plus
494,23,league
559,22,million series
52,21,app store
373,20,grand
666,19,press release
76,19,awards
674,19,pro
854,17,switch
816,17,sponsored
476,16,labs
246,15,early access
351,15,gear
852,14,super
714,13,red
820,13,square
973,12,wild
786,12,silicon
715,12,register
671,11,prime
537,11,march
851,11,summit
44,10,announced new
63,10,arts
873,8,theft
339,8,galaxy
100,8,breath
957,8,wars
663,8,presented
844,7,street
809,6,south
292,6,expo
598,6,north
777,5,shadow
203,4,decides
940,4,ventures
552,4,messenger
798,4,snap
833,4,steam
641,3,pixel
974,3,windows
241,3,duty
250,3,echo
53,2,apple
211,2,destiny
913,2,united
508,2,live event
432,1,instagram
900,1,trump
905,1,tv
909,1,uber
37,1,american
927,1,valley
141,1,chrome
366,1,google
744,1,round funding
793,1,slack
92,1,blizzard
885,0,to1608230n
998,0,zelda
910,0,ubisoft
880,0,thursday
995,0,york
997,0,youtube
907,0,twitter
966,0,wednesday
906,0,twitch
872,0,the1608230n
903,0,tuesday
975,0,windows preview
899,0,travis
911,0,uk
914,0,united states
953,0,vr
958,0,wars battlefront
989,0,xbox pc
929,0,vb
930,0,vb live
931,0,vb live event
874,0,theft auto
932,0,vb live vb
933,0,vc
988,0,xbox
934,0,vegas
987,0,x
986,0,wwii
951,0,vive
939,0,venturebeat
0,0,3d
869,0,that1608230n
450,0,ios
278,0,europe
279,0,european
294,0,facebook
295,0,facebook messenger
308,0,february
324,0,for1608230n
329,0,francisco
332,0,french
333,0,friday
346,0,gamesbeat
347,0,gamesbeat decides
348,0,gamesbeat weekly
349,0,gamesbeat weekly roundup
367,0,google assistant
368,0,google home
369,0,google today
370,0,googles
374,0,grand theft
390,0,hearthstone
402,0,htc
403,0,htc vive
408,0,im
409,0,ive
410,0,ibm
412,0,ii
417,0,in1608230n
423,0,india
435,0,intel
437,0,intelligence ai
272,0,entertainment expo
261,0,electronic entertainment expo
260,0,electronic entertainment
62,0,artificial intelligence ai
28,0,ai
30,0,alexa
31,0,alexa skills
34,0,amazon
35,0,amazons
36,0,america
40,0,and1608230n
41,0,android
42,0,angeles
50,0,api
54,0,apples
57,0,april
58,0,ar
71,0,august
259,0,electronic arts
78,0,aws
82,0,battlefront
83,0,battlegrounds
110,0,california
125,0,ceo
126,0,ces
137,0,china
138,0,chinese
197,0,deanbeat
202,0,december
235,0,donald
242,0,e3
243,0,ea
442,0,internet things
451,0,ios android
865,0,tesla
452,0,iot
602,0,october
603,0,oculus
604,0,of1608230n
612,0,on1608230n
623,0,overwatch
632,0,pc
633,0,pc gaming
651,0,playerunknowns
652,0,playerunknowns battlegrounds
654,0,playstation
655,0,playstation xbox
693,0,qualcomm
699,0,raised million
700,0,raised million series
702,0,raises million
727,0,reuters
732,0,rift
752,0,samsung
753,0,san
754,0,san francisco
771,0,september
787,0,silicon valley
790,0,siri
799,0,snapchat
806,0,sony
817,0,sponsored presented
819,0,spotify
823,0,star wars
824,0,star wars battlefront
601,0,nvidia
599,0,november
597,0,nintendos
510,0,live vb live
453,0,iphone
454,0,ipo
455,0,is1608230n
458,0,it1608230n
461,0,january
462,0,japan
463,0,japanese
468,0,july
469,0,june
481,0,las
482,0,las vegas
1,0,a1608230n
509,0,live vb
513,0,london
596,0,nintendo switch
519,0,los
520,0,los angeles
524,0,mac
538,0,mario
553,0,microsoft
554,0,microsoft today
555,0,microsofts
570,0,monday
585,0,netflix
590,0,new windows
591,0,new windows preview
592,0,new york
595,0,nintendo
999,0,zuckerberg
