id,Count,Word
588,3433,new
588,3433,new
340,2924,game
556,2716,million
886,2590,today
156,2263,company
43,2048,announced
345,1521,games
562,1208,mobile
501,1098,like
990,1097,year
51,900,app
829,871,startup
861,868,tech
707,862,reality
634,855,people
773,855,service
191,855,data
863,849,technology
749,841,said
645,840,platform
89,826,billion
155,826,companies
967,784,week
881,775,time
942,745,video
530,738,make
391,722,help
280,687,event
992,684,years
87,677,big
947,663,virtual
486,633,launch
924,629,users
470,619,just
459,615,its
613,608,online
981,607,world
802,599,software
487,592,launched
336,589,funding
540,587,market
350,582,gaming
216,581,developers
426,567,industry
152,561,coming
743,558,round
635,548,percent
45,540,announced today
107,535,business
485,532,latest
436,522,intelligence
488,514,launches
960,509,way
75,507,available
921,493,use
701,486,raises
948,467,virtual reality
698,459,raised
224,458,digital
650,455,players
6,449,according
593,449,news
56,446,apps
172,443,content
215,439,developer
926,439,using
887,436,today announced
60,433,artificial
800,432,social
772,430,series
533,423,making
496,408,learning
497,399,led
317,397,firm
61,390,artificial intelligence
830,389,startups
525,383,machine
88,378,biggest
181,374,create
220,372,devices
151,372,comes
774,366,services
307,364,features
941,364,version
449,362,investors
542,360,marketing
977,359,work
688,358,public
364,352,going
420,352,including
728,351,revealed
644,349,plans
84,348,best
853,347,support
846,347,studio
97,347,bots
306,346,feature
355,344,getting
795,344,smart
159,338,companys
572,336,month
277,335,esports
330,330,free
716,329,release
647,328,play
717,326,released
147,324,cloud
751,321,sales
489,319,launching
859,316,team
338,315,future
117,312,car
446,312,investment
399,310,home
600,310,number
571,307,money
104,305,build
196,304,deal
111,299,called
629,299,past
918,298,update
955,296,wants
189,296,customers
356,295,giant
548,295,media
507,295,live
574,291,months
108,290,businesses
979,289,working
614,289,open
86,287,better
922,284,used
729,282,revenue
522,280,lot
775,280,set
778,280,share
218,279,development
168,279,console
397,279,hit
121,278,cars
720,276,report
658,275,popular
526,274,machine learning
360,268,global
690,267,publisher
582,267,need
96,265,bot
499,263,lets
576,263,multiplayer
85,262,beta
782,262,shooter
954,260,want
26,259,ago
380,255,growth
694,255,quarter
529,255,major
290,254,experience
679,254,product
182,253,created
245,252,early
365,250,good
301,250,fans
763,249,second
733,247,right
532,247,makes
193,247,day
441,246,internet
474,245,know
564,245,mobile game
915,245,unveiled
219,244,device
335,240,fund
531,239,maker
3,239,able
937,239,venture
891,238,tools
682,237,program
208,236,designed
101,236,bring
188,235,customer
680,235,products
79,233,based
69,233,augmented
952,232,voice
116,230,capital
825,229,start
5,224,access
135,223,chief
877,222,things
150,221,come
796,219,smartphone
516,219,look
586,218,network
711,215,recent
70,214,augmented reality
113,213,came
667,211,preview
857,210,taking
841,208,strategy
706,207,real
493,207,leading
164,206,conference
377,205,group
194,205,days
384,205,hardware
761,203,search
757,203,says
642,200,place
785,200,shows
14,199,ad
387,199,headset
500,198,life
890,198,tool
767,196,selfdriving
162,195,computer
870,195,thats
514,194,long
712,193,recently
856,192,takes
465,191,jobs
427,190,information
925,190,uses
55,189,applications
270,189,enterprise
826,188,started
606,187,offering
21,187,ads
484,186,later
354,185,gets
638,185,phone
724,185,research
344,185,gamers
475,183,known
288,182,expansion
424,182,indie
721,182,reported
405,181,human
810,181,space
961,181,ways
379,180,growing
764,180,security
923,178,user
314,178,finally
128,178,change
267,178,end
74,177,autonomous
223,177,different
8,177,acquired
536,177,management
414,176,important
376,176,great
418,176,include
943,175,video game
878,175,think
99,175,brands
105,174,building
167,174,connected
247,173,earnings
739,173,roleplaying
917,173,upcoming
93,172,blockchain
670,172,price
747,171,run
860,168,teams
114,168,camera
840,167,story
794,166,small
264,166,employees
685,166,provide
827,164,starting
945,164,videos
662,164,power
803,164,sold
285,164,existing
248,163,easier
234,162,dont
10,162,acquisition
