uid,GEOID,geolabel,state,year,party,pviScore,mov_2016,mov_vs_FB,poe_2018,poe_2020,pct_change16_20
306,3411,Congressional District11 New Jersey,New Jersey,2024,R,R+3,68420,50809,0.165,0.169,0.081
307,0610,Congressional District10 California,California,2024,R,EVEN,10013,-28863,0.165,0.174,0.209
308,0649,Congressional District49 California,California,2024,R,R+1,5328,-75772,0.169,0.190,0.359
309,3407,Congressional District7 New Jersey,New Jersey,2024,R,R+3,37959,2356,0.173,0.188,0.170
310,0625,Congressional District25 California,California,2024,R,EVEN,17472,-8473,0.180,0.180,0.117
311,3405,Congressional District5 New Jersey,New Jersey,2024,D,R+3,10220,-32122,0.197,0.208,0.168
312,5110,Congressional District10 Virginia,Virginia,2024,R,0,22042,-43639,0.197,0.208,0.240
313,3604,Congressional District4 New York,New York,2024,D,D+4,54975,22210,0.207,0.220,0.149
314,3603,Congressional District3 New York,New York,2024,D,D+1,14292,-12928,0.208,0.210,0.097
315,0648,Congressional District48 California,California,2024,R,R+4,48271,44569,0.209,0.207,0.014
316,0645,Congressional District45 California,California,2024,D,R+3,52215,18178,0.255,0.262,0.115
317,3611,Congressional District11 New York,New York,2024,R,R+3,56300,16517,0.305,0.323,0.125
318,0639,Congressional District39 California,California,2024,R,EVEN,37256,8012,0.320,0.332,0.092
319,1227,Congressional District27 Florida,Florida,2024,R,0,28215,-21288,0.504,0.505,0.102
320,1225,Congressional District25 Florida,Florida,2024,R,0,62740,-13669,0.560,0.592,0.150
