GEOID,geolabel,state,party,pviScore,mov_2016,mov_vs_FB18,mov_vs_FB20,mov_vs_FB22,mov_vs_FB24,poe_2018,poe_2020,pct_change16_20
3601,Congressional District1 New York,New York,R,R+5,53042,54200,54306,55377,56452,0.090,0.089,-0.026
3901,Congressional District1 Ohio,Ohio,R,R+5,66004,62363,58173,50841,43847,0.044,0.051,0.383
3910,Congressional District10 Ohio,Ohio,R,R+4,104309,101323,97893,92157,86703,0.039,0.045,0.350
3914,Congressional District14 Ohio,Ohio,R,R+5,87071,87802,89621,90133,90718,0.034,0.031,-0.134
4105,Congressional District5 Oregon,Oregon,D,EVEN,34566,32515,29745,26987,24367,0.059,0.061,0.139
4104,Congressional District4 Oregon,Oregon,D,EVEN,61171,60084,59260,57809,56401,0.026,0.026,0.127
4217,Congressional District17 Pennsylvania,Pennsylvania,D,R+1,22047,20382,19047,16815,14654,0.045,0.048,0.130
4208,Congressional District8 Pennsylvania,Pennsylvania,R,R+2,34036,30527,25521,20271,15346,0.086,0.095,0.199
4216,Congressional District16 Pennsylvania,Pennsylvania,R,R+5,34729,35101,35028,35384,35739,0.041,0.041,-0.013
4207,Congressional District7 Pennsylvania,Pennsylvania,R,R+1,71506,65720,61377,50770,40384,0.073,0.082,0.304
4206,Congressional District6 Pennsylvania,Pennsylvania,R,R+2,51871,52240,52654,52994,53341,0.044,0.042,-0.032
4215,Congressional District15 Pennsylvania,Pennsylvania,R,R+4,64329,63880,62386,61877,61388,0.060,0.063,0.059
4823,Congressional District23 Texas,Texas,R,R+1,3767,1561,-1509,-4281,-6934,0.104,0.105,0.104
4832,Congressional District32 Texas,Texas,R,R+5,118915,110031,100307,84925,70307,0.154,0.171,0.280
5110,Congressional District10 Virginia,Virginia,R,0,22042,8979,-1236,-22767,-43639,0.197,0.208,0.240
5102,Congressional District2 Virginia,Virginia,R,0,65607,64250,62257,60601,59011,0.068,0.071,0.090
5310,Congressional District10 Washington,Washington,D,D+5,47044,43724,40852,36154,31627,0.076,0.078,0.158
5303,Congressional District3 Washington,Washington,R,R+4,68098,65459,60719,56679,52944,0.067,0.074,0.218
5308,Congressional District8 Washington,Washington,R,EVEN,58461,57801,56438,55708,54997,0.086,0.086,0.045
5501,Congressional District1 Wisconsin,Wisconsin,R,R+5,123206,124613,125666,126566,127579,0.029,0.027,-0.145
5503,Congressional District3 Wisconsin,Wisconsin,D,EVEN,257000,254845,253363,248741,244091,0.020,0.022,0.404
