"""Name"": ""Honolulu Community College""","""FTE"": 2149","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.321785","""Long"":-157.87","""Carnegie"": ""Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"""
"""Name"": ""Windward Community College""","""FTE"": 1382","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.40922","""Long"":-157.813213","""Carnegie"": ""Associate's Colleges: High Transfer-High Nontraditional"""
"""Name"": ""Connors State College""","""FTE"": 1688","""Control"": ""Public""","""State"": ""Oklahoma""","""Lat"":35.492873","""Long"":-95.319541","""Carnegie"": ""Associate's Colleges: High Transfer-High Traditional"""
"""Name"": ""Carl Albert State College""","""FTE"": 1613","""Control"": ""Public""","""State"": ""Oklahoma""","""Lat"":35.03821","""Long"":-94.63383","""Carnegie"": ""Associate's Colleges: High Transfer-High Traditional"""
"""Name"": ""Leeward Community College""","""FTE"": 4398","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.39267","""Long"":-157.983771","""Carnegie"": ""Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"""
"""Name"": ""Kapiolani Community College""","""FTE"": 4281","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.271357","""Long"":-157.800413","""Carnegie"": ""Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"""
"""Name"": ""Kauai Community College""","""FTE"": 750","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.969509","""Long"":-159.395966","""Carnegie"": ""Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"""
"""Name"": ""Hawaii Community College""","""FTE"": 1761","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":19.704756","""Long"":-155.069653","""Carnegie"": ""Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"""
"""Name"": ""University of Hawaii-West Oahu""","""FTE"": 2120","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.35531","""Long"":-158.056403","""Carnegie"": ""Baccalaureate Colleges: Diverse Fields"""
"""Name"": ""Pacific Rim Christian University""","""FTE"": 105","""Control"": ""Private not-for-profit""","""State"": ""Hawaii""","""Lat"":21.328198","""Long"":-157.888379","""Carnegie"": ""Baccalaureate Colleges: Diverse Fields"""
"""Name"": ""American Indian College Inc""","""FTE"": 84","""Control"": ""Private not-for-profit""","""State"": ""Arizona""","""Lat"":33.577738","""Long"":-112.092247","""Carnegie"": ""Baccalaureate Colleges: Diverse Fields"""
"""Name"": ""University of Hawaii Maui College""","""FTE"": 2045","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":20.890561","""Long"":-156.479854","""Carnegie"": ""Baccalaureate/Associate's Colleges: Associate's Dominant"""
"""Name"": ""Remington College-Honolulu Campus""","""FTE"": 405","""Control"": ""Private not-for-profit""","""State"": ""Hawaii""","""Lat"":21.309273","""Long"":-157.860023","""Carnegie"": ""Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"""
"""Name"": ""Bacone College""","""FTE"": 957","""Control"": ""Private not-for-profit""","""State"": ""Oklahoma""","""Lat"":35.77707","""Long"":-95.335337","""Carnegie"": ""Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"""
"""Name"": ""University of Alaska Fairbanks""","""FTE"": 5535","""Control"": ""Public""","""State"": ""Alaska""","""Lat"":64.85756","""Long"":-147.823146","""Carnegie"": ""Doctoral Universities: Higher Research Activity"""
"""Name"": ""University of Hawaii at Manoa""","""FTE"": 15276","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":21.298598","""Long"":-157.818979","""Carnegie"": ""Doctoral Universities: Highest Research Activity"""
"""Name"": ""Chaminade University of Honolulu""","""FTE"": 1971","""Control"": ""Private not-for-profit""","""State"": ""Hawaii""","""Lat"":21.290274","""Long"":-157.807642","""Carnegie"": ""Master's Colleges & Universities: Larger Programs"""
"""Name"": ""Northeastern State University""","""FTE"": 6432","""Control"": ""Public""","""State"": ""Oklahoma""","""Lat"":35.920499","""Long"":-94.968528","""Carnegie"": ""Master's Colleges & Universities: Larger Programs"""
"""Name"": ""University of Alaska Southeast""","""FTE"": 1472","""Control"": ""Public""","""State"": ""Alaska""","""Lat"":58.384846","""Long"":-134.638255","""Carnegie"": ""Master's Colleges & Universities: Medium Programs"""
"""Name"": ""University of Hawaii at Hilo""","""FTE"": 3180","""Control"": ""Public""","""State"": ""Hawaii""","""Lat"":19.701854","""Long"":-155.081329","""Carnegie"": ""Master's Colleges & Universities: Small Programs"""
"""Name"": ""CollegeAmerica-Flagstaff""","""FTE"": 101","""Control"": ""Private not-for-profit""","""State"": ""Arizona""","""Lat"":35.194495","""Long"":-111.657673","""Carnegie"": ""Special Focus Four-Year: Other Health Professions Schools"""
